,Zone1,Zone2,Zone3,Zone4,
Thu Jan 11 08:00:00 CST 2018,3636,3710,3697,3630,
Thu Jan 11 09:00:00 CST 2018,7949,8174,7944,7999,
Thu Jan 11 10:00:00 CST 2018,12360,12690,12598,12699,
Thu Jan 11 11:00:00 CST 2018,14443,15080,14689,14678,
Thu Jan 11 12:00:00 CST 2018,12335,12577,12681,12713,
Thu Jan 11 13:00:00 CST 2018,7913,8337,8003,8128,
Thu Jan 11 14:00:00 CST 2018,3775,3761,3713,3707,
Thu Jan 11 15:00:00 CST 2018,1822,1931,1889,1817,
Thu Jan 11 16:00:00 CST 2018,6295,6693,6571,6577,
Thu Jan 11 17:00:00 CST 2018,17027,17812,17877,17562,
Thu Jan 11 18:00:00 CST 2018,14783,15228,15262,15258,
Thu Jan 11 19:00:00 CST 2018,16648,17355,17211,16933,
Thu Jan 11 20:00:00 CST 2018,19269,20240,19913,19538,
Thu Jan 11 21:00:00 CST 2018,16429,17034,17095,16535,
Thu Jan 11 22:00:00 CST 2018,10480,10915,10698,10641,
Thu Jan 11 23:00:00 CST 2018,4859,5000,5007,4785,
Fri Jan 12 00:00:00 CST 2018,1681,1596,1607,1719,
Fri Jan 12 01:00:00 CST 2018,395,442,428,444,
Fri Jan 12 02:00:00 CST 2018,62,67,76,75,
Fri Jan 12 03:00:00 CST 2018,9,9,14,15,
Fri Jan 12 04:00:00 CST 2018,6,5,8,11,
Fri Jan 12 05:00:00 CST 2018,58,63,65,67,
Fri Jan 12 06:00:00 CST 2018,301,306,322,340,
Fri Jan 12 07:00:00 CST 2018,1225,1212,1280,1260,
Fri Jan 12 08:00:00 CST 2018,3564,3617,3771,3680,
Fri Jan 12 09:00:00 CST 2018,7669,7724,8013,8047,
Fri Jan 12 10:00:00 CST 2018,12304,12360,12825,12826,
Fri Jan 12 11:00:00 CST 2018,14507,14536,14864,14670,
Fri Jan 12 12:00:00 CST 2018,12527,12271,12779,12785,
Fri Jan 12 13:00:00 CST 2018,7731,7803,8260,8002,
Fri Jan 12 14:00:00 CST 2018,3654,3641,3726,3799,
Fri Jan 12 15:00:00 CST 2018,1832,1893,1912,1974,
Fri Jan 12 16:00:00 CST 2018,6365,6329,6502,6527,
Fri Jan 12 17:00:00 CST 2018,17387,17211,17570,17858,
Fri Jan 12 18:00:00 CST 2018,14837,14834,15212,15427,
Fri Jan 12 19:00:00 CST 2018,16453,16766,17293,17410,
Fri Jan 12 20:00:00 CST 2018,19226,19007,19779,19775,
Fri Jan 12 21:00:00 CST 2018,16543,16297,16816,16702,
Fri Jan 12 22:00:00 CST 2018,10321,10268,10700,10690,
Fri Jan 12 23:00:00 CST 2018,4674,4817,5025,4955,
Sat Jan 13 00:00:00 CST 2018,1688,1686,1621,1659,
Sat Jan 13 01:00:00 CST 2018,413,422,393,395,
Sat Jan 13 02:00:00 CST 2018,72,81,76,72,
Sat Jan 13 03:00:00 CST 2018,9,8,8,17,
Sat Jan 13 04:00:00 CST 2018,17,5,5,10,
Sat Jan 13 05:00:00 CST 2018,61,70,57,68,
Sat Jan 13 06:00:00 CST 2018,316,317,322,317,
Sat Jan 13 07:00:00 CST 2018,1232,1230,1302,1265,
Sat Jan 13 08:00:00 CST 2018,3754,3750,3783,3503,
Sat Jan 13 09:00:00 CST 2018,7929,7954,8005,7866,
Sat Jan 13 10:00:00 CST 2018,12618,12556,12535,12354,
Sat Jan 13 11:00:00 CST 2018,14882,14987,14917,14667,
Sat Jan 13 12:00:00 CST 2018,12713,12684,12814,12374,
Sat Jan 13 13:00:00 CST 2018,8078,8068,8024,7765,
Sat Jan 13 14:00:00 CST 2018,3881,3702,3769,3771,
Sat Jan 13 15:00:00 CST 2018,1857,1888,1914,1876,
Sat Jan 13 16:00:00 CST 2018,6711,6572,6613,6421,
Sat Jan 13 17:00:00 CST 2018,17723,17634,17518,17213,
Sat Jan 13 18:00:00 CST 2018,15365,15242,15291,14759,
Sat Jan 13 19:00:00 CST 2018,17168,17057,16989,16684,
Sat Jan 13 20:00:00 CST 2018,19838,19680,19656,19607,
